﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"Onboarding Process","https://firstfinancialptyltd.sharepoint.com/sites/OnboardingProcess","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:28 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Operations","https://firstfinancialptyltd.sharepoint.com/sites/Operations","True",,"Open","130.47",,"","Team site","7/5/2026 12:00:00 AM","5/24/2021 11:24:05 PM","Operations Owners","25600","0.51","True","722","315","11","81831",,"On"
"Operations","https://firstfinancialptyltd.sharepoint.com/sites/Operations5172","True","1","Open","0.06",,"","Team site","6/25/2026 12:00:00 AM","11/13/2024 6:08:02 AM","Operations Owners","25600","0.00","True","1","0","0","48",,"On"
"Operations & Practice Management","https://firstfinancialptyltd.sharepoint.com/sites/OperationsPracticeManagement","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:23 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Operations Project Management","https://firstfinancialptyltd.sharepoint.com/sites/FeeConsentDec2021","True",,"Open","0.02",,"","Team site",,"11/13/2024 6:23:09 AM","Operations Project Management Owners","25600","0.00","True","0","0","0","20",,"On"
"Operations Projects","https://firstfinancialptyltd.sharepoint.com/sites/OperationsProjects","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:31 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Ops","https://firstfinancialptyltd.sharepoint.com/sites/Ops","True",,"Open","0.01",,"","Team site","1/20/2026 12:00:00 AM","8/20/2019 10:12:59 PM","Karen Perfecto","25600","0.00","True","0","0","0","35",,"On"
"Ops Projects","https://firstfinancialptyltd.sharepoint.com/sites/OpsProjects260","False",,"Open","0.01",,"","Team site","10/14/2025 12:00:00 AM","7/12/2023 9:52:42 PM","Ops Projects Owners","25600","0.00","True","0","0","0","20",,"On"
"Ops+DB","https://firstfinancialptyltd.sharepoint.com/sites/OpsDB","True",,"Open","0.01",,"","Team site","10/14/2025 12:00:00 AM","11/13/2024 6:07:58 AM","Ops+DB Owners","25600","0.00","True","0","0","0","10",,"On"
"Order of the Golden Eagle","https://firstfinancialptyltd.sharepoint.com/sites/OrderoftheGoldenEagle","True",,"Open","0.00",,"","Team site","10/14/2025 12:00:00 AM","11/13/2024 6:07:57 AM","Order of the Golden Eagle Owners","25600","0.00","True","0","0","0","13",,"On"
"Order of the Golden Eagle","https://firstfinancialptyltd.sharepoint.com/sites/OrderoftheGoldenEagle717","True",,"Open","0.00",,"","Team site","12/15/2024 12:00:00 AM","11/13/2024 6:07:57 AM","Order of the Golden Eagle Owners","25600","0.00","True","0","0","0","6",,"On"
"OTPlugins","https://firstfinancialptyltd.sharepoint.com/sites/OTPlugins","False",,"Open","0.00",,"","Team site","8/8/2024 12:00:00 AM","6/15/2021 1:26:43 AM","OTPlugins Owners","25600","0.00","True","0","0","0","10",,"On"
"Outlook Customer Manager","https://firstfinancialptyltd.sharepoint.com/sites/AllSalesTeam-c036c9b0-d80c-423b-afed-8642ce2d6076","False",,"Open","0.00",,"","Team site","7/24/2024 12:00:00 AM","11/30/2018 2:39:55 AM","Ryan Keenan","25600","0.00","True","0","0","0","6",,"On"
"Paraplanning Team","https://firstfinancialptyltd.sharepoint.com/sites/ParaplanningTeam","True",,"Open","0.00",,"","Team site","7/30/2025 12:00:00 AM","7/15/2019 12:10:50 AM","Hayley Wong","25600","0.00","True","0","0","0","22",,"On"
"Paraplanning Team Folder Access - Akambo","https://firstfinancialptyltd.sharepoint.com/sites/ParaplanningWorkflowTrackerAccess-External","False",,"Open","0.00",,"","Team site","11/6/2024 12:00:00 AM","5/9/2024 11:26:47 PM","Paraplanning Workflow Tracker Access - External Owners","25600","0.00","True","0","0","0","7",,"On"
"Personal","https://firstfinancialptyltd.sharepoint.com/sites/Personal","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","7/13/2021 3:54:57 AM","Personal Owners","25600","0.00","True","0","0","0","4",,"On"
"Personal","https://firstfinancialptyltd.sharepoint.com/sites/Personal693","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","2/13/2023 10:10:27 PM","Personal Owners","25600","0.00","True","0","0","0","4",,"On"
"Personal","https://firstfinancialptyltd.sharepoint.com/sites/Personal590","False",,"Open","0.00",,"","Team site","7/30/2024 12:00:00 AM","2/22/2024 2:59:17 AM","Personal Owners","25600","0.00","True","0","0","0","4",,"On"
"Perth Investment Seminar 19-20 October 2022","https://firstfinancialptyltd.sharepoint.com/sites/PerthInvestmentSeminar19-20October2022","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:20 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Portfolio Management Sub Committee","https://firstfinancialptyltd.sharepoint.com/sites/PortfolioManagementSubCommittee","False",,"Open","0.72","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"11/13/2024 5:15:56 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","479",,"Off"
"Portfolio Management Sub Committee","https://firstfinancialptyltd.sharepoint.com/sites/PortfolioManagementSubCommittee2","True",,"Open","0.73",,"","Team site","7/5/2026 12:00:00 AM","11/13/2024 6:08:02 AM","Portfolio Management Sub Committee Owners","25600","0.00","True","6","0","0","568",,"On"
